Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$48.20,0.00,0.00%,,United States,,11,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$50.55,0.00,0.00%,,United States,,522,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.765,-0.055,-0.945%,73270746.00,United States,2004,22305,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.86,-0.025,-2.825%,55376562.00,Singapore,2022,1648076,Consumer Discretionary,Services-Misc. Amusement & Recreation
GORO,Gold Resource Corporation Common Stock,$0.585,0.0798,15.796%,79823093.00,United States,,5883231,Basic Materials,Precious Metals
GPUS,Hyperscale Data Inc. Common Stock,$0.4134,-0.1195,-22.424%,13288516.00,United States,1997,3096507,Technology,Industrial Machinery/Components
GPUS^D,Hyperscale Data Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$22.95,0.58,2.593%,,United States,,625,,
GRAF,Graf Global Corp. Class A ordinary shares,$10.49,0.035,0.335%,0.00,,2024,320,,
GRF,Eagle Capital Growth Fund Inc. Common Stock,$10.50,-0.047,-0.446%,0.00,United States,,3098,Finance,Finance/Investors Services
GRO,Brazil Potash Corp. Common Shares,$1.72,-0.06,-3.371%,66071628.00,,2024,556456,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GROY,Gold Royalty Corp. Common Shares,$3.82,0.20,5.525%,652109946.00,Canada,2021,5827795,Basic Materials,Precious Metals
GTE,Gran Tierra Energy Inc. Common Stock,$4.14,0.03,0.73%,146096398.00,Canada,,295805,Energy,Oil & Gas Production
HCWC,Healthy Choice Wellness Corp. Class A Common Stock,$0.42,0.0313,8.052%,5795615.00,,2024,142235,Consumer Staples,Food Chains
HNW,Pioneer Diversified High Income Fund Inc.,$12.735,-0.065,-0.508%,0.00,United States,2007,93223,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$8.46,0.23,2.795%,286306848.00,United States,,169384,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$68.70,-1.29,-1.843%,,United States,,1049,,
HYLN,Hyliion Holdings Corp. Class A Common Stock,$1.61,-0.07,-4.167%,282452984.00,United States,2019,675575,Consumer Discretionary,Construction/Ag Equipment/Trucks
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.56,-0.07,-1.512%,0.00,United States,1985,59339,Finance,Finance/Investors Services
